number_of_beans,country_of_bean_origin
157,Madagascar
200,Dominican republic
63,Tanzania
207,Peru
71,Bolivia
238,Venezuela
194,Ecuador
74,Brazil
48,Papua new guinea
1,Burma
9,Panama
65,Colombia
12,Cuba
3,Togo
16,Sao tome
45,Mexico
15,Fiji
12,Vanuatu
17,Indonesia
38,Trinidad
64,Vietnam
92,Nicaragua
32,Ghana
65,Belize
140,Blend
17,Grenada
23,Jamaica
53,Guatemala
42,Costa rica
23,Honduras
24,Haiti
20,India
13,Congo
19,Philippines
10,Solomon islands
10,Uganda
7,Malaysia
3,Sri lanka
4,Ivory coast
1,Gabon
2,Taiwan
6,Puerto rico
1,Martinique
9,St. lucia
3,Australia
3,Liberia
3,Sierra leone
2,Nigeria
28,U.s.a.
1,St.vincent-grenadines
5,Thailand
1,Tobago
1,Bolvia
1,Sumatra
6,El salvador
3,Cameroon
3,Samoa
1,Sao tome & principe
3,Principe
1,Sulawesi
1,Suriname
1,Dr congo
